available,name,description,price,category,subcategory,comments,calories (kCal),vegan,vegetarian,allergen_gluten,allergen_crustaceans,allergen_eggs,allergen_fish,allergen_peanuts,allergen_soybeans,allergen_milk,allergen_nuts,allergen_celery,allergen_mustard,allergen_sesame,allergen_sulphites,allergen_lupin,allergen_molluscs,,
YES,Seafood Chowder,Crusty bread,,Daily Specials (€10),Starter,Served with bread and butter,230,YES,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
No,Chicken Caesar Salad,"Focaccia croutons, Parmesan shavings, cos lettuce & Caesar dressing",,Daily Specials (€10),Starter,,120,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
YES,Homemade Soup of the Day,Irish soda bread,,Daily Specials (€10),Starter,,,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
YES,Dish with all the allergens,Should move from DAily Special to House Specials,,House Special,Main courses,tasty!,300,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
YES,Baked Fish Tails,Goujons  of cod with mushy peas and a side of your choice,,Daily Specials (€10),Main courses,,,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,,
YES,Bangers and Mash,"Grilled pork sausages, creamy mash potato & gravy",,Daily Specials (€10),Main courses,,200,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
YES,Seasonal fruit,should change desert name on menu,,Daily Specials (€10),Dessert,Ask to the waiter for additional information,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
YES,Ice Cream,"Chocolate, mint or lemon",,Daily Specials (€10),Dessert,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
YES,Broccoli Chicken,Sliced chicken and broccoli in a tasty garlic sauce.,13,House Special,Chicken,,400,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
YES,Sweet & Sour Chicken,Diced chicken breast lightly stir-fried with a tangy sweet and spice sauce,13.5,House Special,Chicken,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
YES,Manchurian Chicken,Tender pieces of chicken in a savory Manchurian sauce.,13,House Special,Chicken,,230,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
YES,Basil Ginger Chicken,Stir-fried sliced chicken breast with basil and garlic sauce.,13,House Special,Chicken,,,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,,
YES,Hot Garlic Shrimp,Large gourmet shrimp in a spicy garlic sauce.,16,House Special,Shrimp,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
YES,Schezwan Shrimp,Gourmet shrimp sauteed with fresh vegetables in a savory schezwan sauce.,16.5,House Special,Shrimp,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
YES,Mango Lassi 2,Traditional cold and refreshing yogurt based drink made with mango pulp.,5,House Special,smoothies,,ABC ,maybe,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
YES,Irish Spring Water,,1.5,House Special,Beverages,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
YES,World's most expensive soda with longest name,is this a drink or a chicken dish? who knows!,27!,House Special,Chicken,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
YES,hendricks gin & tonic,scotish gin,123.456,Spirits (Alcohol),Spirits,,,,,,,,,,,,,,,,,,,,
YES,cuba libre,rum and coke ,,Spirits (Alcohol),Cocktails,,,,,,,,,,,,,,,,,,,,
YES,mojito,"Mojito is a traditional Cuban highball. Traditionally, a mojito is a cocktail that consists of five ingredients: white rum, sugar, lime juice, soda water, and mint. Its combination of sweetness, citrus, and herbaceous mint flavors is intended to complement the rum, and has made the mojito a popular summer drink.",25,,Cocktails,,,,,,,,,,,,,,,,,,,,
YES,new dish,should be added under the house specials,3333333333,house Special,Chicken,,,,,,,,,,,,,,,,,,,,
YES,whiskey,irish ,24#,spirits (Alcohol),,,,,,,,,,,,,,,,,,,,,